_id,type,x1,y1,z1,x2,y2,z2,serverType
village_1,VILLAGE,229,3,-194,-276,182,201,SKYBLOCK_HUB
ruins_1,RUINS,-189,148,28,-299,40,158,SKYBLOCK_HUB
library_1,LIBRARY,-75,75,-83,-71,70,-79,SKYBLOCK_HUB
library_2,LIBRARY,-71,76,-74,-63,69,-85,SKYBLOCK_HUB
thaumaturgist,THAUMATURGIST,-74,69,-57,-59,77,-72,SKYBLOCK_HUB
thaumaturgist_2,THAUMATURGIST,-48,74,-65,-57,70,-59,SKYBLOCK_HUB
mountain,MOUNTAIN,-51,98,16,-38,85,1,SKYBLOCK_HUB
trade_center,TRADE_CENTER,-29,73,-73,-38,68,-83,SKYBLOCK_HUB
combat_settlement,COMBAT_SETTLEMENT,-32,63,-61,-70,88,-98,SKYBLOCK_HUB
election_room,ELECTION_ROOM,-16,63,54,16,47,16,SKYBLOCK_HUB
goldmine_1,GOLD_MINE,52,136,-261,-106,14,-404,GOLD_MINE
deepcavern_1,DEEP_CAVERNS,-68,235,112,135,0,-72,DEEP_CAVERNS
gunpowder,GUNPOWDER_MINES,159,165,42,-38,143,-62,DEEP_CAVERNS
lapis_quarry,LAPIS_QUARRY,-38,143,-62,151,114,77,DEEP_CAVERNS
pigmens_den,PIGMENS_DEN,151,114,77,-26,85,-61,DEEP_CAVERNS
slimehill,SLIMEHILL,-26,85,-61,127,52,74,DEEP_CAVERNS
diamond_reserve,DIAMOND_RESERVE,127,52,74,-36,28,-74,DEEP_CAVERNS
obsidian_sanctuary,OBSIDIAN_SANCTUARY,-36,28,-74,121,0,48,DEEP_CAVERNS
the_end_nest_1,THE_END_NEST,78,117,-87,149,0,85,THE_END
the_end_1,THE_END,150,177,146,190,23,-115,THE_END
dragons_nest_2,DRAGONS_NEST,-34,1,68,-92,68,-52,THE_END
vs1,VOID_SEPULTURE,100,62,-17,56,7,-96,THE_END
vs2,VOID_SEPULTURE,68,70,-96,140,23,-21,THE_END
vs3,VOID_SEPULTURE,74,50,-51,49,8,-91,THE_END
#spiders_den_1,SPIDERS_DEN,-107,5,-238,-408,195,-368,
#spiders_den_2,SPIDERS_DEN,-408,195,-368,-178,13,-183,
#spiders_den_3,SPIDERS_DEN,-226,6,-130,-408,195,-368,
#spiders_den_hive_1,SPIDERS_DEN_HIVE,-236,102,-249,-149,195,-353,
dwarvenmines1,DWARVEN_MINES,-243,255,-205,308,3,291,DWARVEN_MINES
forge1,THE_FORGE,-34,168,-42,30,144,-125,DWARVEN_MINES
forge2,FORGE_BASIN,-16,189,-1,17,144,-38,DWARVEN_MINES
divb1,DIVANS_GATEWAY,7,127,51,-10,149,128,DWARVEN_MINES
icewall,GREAT_ICE_WALL,25,169,138,-25,126,174,DWARVEN_MINES
gb1,GOBLIN_BURROWS,-47,170,214,-96,154,99,DWARVEN_MINES
gb2,GOBLIN_BURROWS,-60,163,180,-192,131,110,DWARVEN_MINES
mist1,THE_MIST,-60,83,2,200,63,160,DWARVEN_MINES
cliffv,CLIFFSIDE_VEINS,6,154,23,92,114,56,DWARVEN_MINES
barn_1,THE_BARN,82,26,-177,250,120,-334,THE_FARMING_ISLANDS
birch_forest,BIRCH_PARK,-255,114,26,-336,41,-90,THE_PARK
spruce_forest,SPRUCE_WOODS,-387,151,-22,-309,59,107,THE_PARK
dark_thicket,DARK_THICKET,-333,148,-24,-415,59,-122,THE_PARK
trial_of_fire,TRIALS_OF_FIRE,-369,120,-100,-357,101,-88,THE_PARK
jungle,JUNGLE_ISLAND,-417,149,-130,-507,68,-18,THE_PARK
savanna,SAVANNA_WOODLAND,-467,155,-20,-383,56,102,THE_PARK
viking,VIKING_LONGHOUSE,-349,50,53,-315,131,94,THE_PARK
melody,MELODY_PLATEAU,-434,100,63,-399,132,101,THE_PARK
sherry,SHERRYS_SHOWROOM,21,98,86,7,76,108,JERRYS_WORKSHOP
jerry,JERRYS_WORKSHOP,139,183,200,-163,30,-167,JERRYS_WORKSHOP
terry,TERRYS_SHACK,-87,94,30,-95,76,21,JERRYS_WORKSHOP
pond,JERRY_POND,-82,110,-17,-35,68,63,JERRYS_WORKSHOP
sunken_pond,SUNKEN_JERRY_POND,-68,74,106,-118,56,32,JERRYS_WORKSHOP
mount,MOUNT_JERRY,-57,81,-40,51,158,-104,JERRYS_WORKSHOP
hotsprings,HOT_SPRINGS,-32,82,-32,60,46,-86,JERRYS_WORKSHOP
hotsprings2,HOT_SPRINGS,-1,74,-35,101,49,12,JERRYS_WORKSHOP
glacial,GLACIAL_CAVE,56,88,20,111,63,115,JERRYS_WORKSHOP
gary,GARYS_SHACK,56,102,52,49,118,63,JERRYS_WORKSHOP
einary,EINARYS_EMPORIUM,-12,75,60,-21,86,66,JERRYS_WORKSHOP
einary2,EINARYS_EMPORIUM,-21,75,66,-17,84,70,JERRYS_WORKSHOP
community_center,COMMUNITY_CENTER,12,88,6,-13,71,24,SKYBLOCK_HUB
community_center_2,COMMUNITY_CENTER,11,83,11,15,78,16,SKYBLOCK_HUB
auction,AUCTION_HOUSE,-26,71,-20,-44,82,-6,SKYBLOCK_HUB
shens_auction,SHENS_AUCTION,-37,63,-22,-2,52,-1,SKYBLOCK_HUB
bazaar,BAZAAR_ALLEY,-30,79,-21,-40,71,-35,SKYBLOCK_HUB
bank,BANK,-25,80,-45,-33,72,-35,SKYBLOCK_HUB
graveyard_1,GRAVEYARD,-73,70,-101,-195,121,-221,SKYBLOCK_HUB
crypts_1,CRYPTS,-176,71,-120,-157,60,-105,SKYBLOCK_HUB
crypts_2,CRYPTS,-155,66,-98,-138,57,-130,SKYBLOCK_HUB
crypts_3,CRYPTS,-164,70,-115,-155,58,-99,SKYBLOCK_HUB
crypts_4,CRYPTS,-138,63,-97,-119,40,-149,SKYBLOCK_HUB
crypts_5,CRYPTS,-119,41,-144,-80,57,-77,SKYBLOCK_HUB
crypts_6,CRYPTS,-43,63,-143,-51,53,-127,SKYBLOCK_HUB
crypts_7,CRYPTS,-51,62,-135,-90,46,-100,SKYBLOCK_HUB
wilderness,WILDERNESS,76,76,64,175,146,201,SKYBLOCK_HUB
unincorporated,UNINCORPORATED,17,79,171,-32,109,134,SKYBLOCK_HUB
forest,FOREST,-66,62,-6,-204,104,-72,SKYBLOCK_HUB
